LSOA21CD,dpi_normalized,Pct of population speaks no or little English normalized,Pct umemp or econo inactive normalized,Pct household deprivation normalized,score
E01000399,7.06,0.75,4.17,4.549483013,16.52948301
E01000400,7.82,0.99,4.16,4.771048744,17.74104874
E01000401,7.82,1.07,5.08,6.528803545,20.49880355
E01000402,8.13,0.78,4.35,5.952732644,19.21273264
E01000403,7.38,0.62,4.9,6.632200886,19.53220089
E01000404,9.56,0.99,4.1,6.011816839,20.66181684
E01000405,8.73,0.93,3.6,5.022156573,18.28215657
E01000406,8.69,1.08,3.04,4.342688331,17.15268833
E01000407,7.5,0.43,4.15,4.697193501,16.7771935
E01000408,8.53,1.43,3.79,4.756277696,18.5062777
E01000409,7.86,0.63,3.56,4.135893648,16.18589365
E01000410,8.37,0.6,3.05,3.234859675,15.25485968
E01000411,7.98,0.49,4.01,4.652880355,17.13288036
E01000412,7.9,0.72,3.06,3.604135894,15.28413589
E01000413,6.79,0.44,3.69,4.283604136,15.20360414
E01000414,7.78,1.18,4.2,4.963072378,18.12307238
E01000415,7.86,0.54,4.32,4.283604136,17.00360414
E01000416,8.53,1.75,4.63,5.598227474,20.50822747
E01000417,7.14,0.81,4.25,5.76070901,17.96070901
E01000418,7.9,1.54,3.87,5.288035451,18.59803545
E01000419,7.14,0.6,4.6,5.081240768,17.42124077
E01000420,7.14,0.24,4.25,4.830132939,16.46013294
E01000421,7.1,0.34,4.41,4.59379616,16.44379616
E01000422,8.29,1.2,4.4,6.809453471,20.69945347
E01000423,7.14,0.19,4.33,3.64844904,15.30844904
E01000424,7.74,0.22,4.43,3.825701625,16.21570163
E01000425,7.86,0.15,4.78,2.9394387,15.7294387
E01000426,8.21,0.29,3.3,3.559822747,15.35982275
E01000427,6.87,0.11,4.69,4.313146233,15.98314623
E01000428,7.38,0.33,4.87,5.376661743,17.95666174
E01000429,7.98,0.49,4.27,6.809453471,19.54945347
E01000430,8.45,0.46,3.52,5.169867061,17.59986706
E01000431,7.7,0.43,4.93,6.58788774,19.64788774
E01033790,8.97,0.84,4.32,6.794682422,20.92468242
E01000433,8.25,0.87,4.45,7.090103397,20.6601034
E01000434,7.74,0.35,4.67,7.075332349,19.83533235
E01000435,7.42,0.38,4.4,6.174298375,18.37429838
E01000436,8.25,0.46,3.93,3.737075332,16.37707533
E01000437,7.62,0.59,3.62,4.992614476,16.82261448
E01000438,7.74,0.64,3.91,4.667651403,16.9576514
E01000439,7.66,0.41,4.28,5.317577548,17.66757755
E01000440,7.54,0.48,4.44,4.711964549,17.17196455
E01000441,8.17,0.55,4.34,6.248153619,19.30815362
E01000442,7.58,0.42,4.15,5.199409158,17.34940916
E01000443,7.06,0.2,3.94,4.889217134,16.08921713
E01000444,8.37,0.11,4.67,2.924667651,16.07466765
E01000445,7.1,0.31,4.41,3.855243722,15.67524372
E01000446,7.9,0.08,3.08,3.279172821,14.33917282
E01000447,7.74,0.29,3.35,3.353028065,14.73302807
E01000448,7.14,0.19,4.46,3.663220089,15.45322009
E01000449,6.51,0.17,4.92,4.194977843,15.79497784
